confirm_id,trade_id,symbol,side,quantity,price,venue,status,fees,timestamp_ns
CFM_000000,INT_000000,HD,Buy,9375,486.96,NASDAQ,confirmed,10.22,1700000000000000000
CFM_000001,INT_000001,AAPL,Sell,6708,218.33,NYSE,confirmed,3.91,1700000000001000000
CFM_000002,INT_000002,V,Sell,823,294.54,NASDAQ,confirmed,14.84,1700000000002000000
CFM_000003,INT_000003,META,Buy,9228,275.32,NASDAQ,confirmed,13.54,1700000000003000000
CFM_000004,INT_000004,JNJ,Buy,3060,434.39,NYSE,confirmed,11.8,1700000000004000000
CFM_000005,INT_000005,TSLA,Buy,3359,296.59,NYSE,confirmed,6.33,1700000000005000000
CFM_000006,INT_000006,XOM,Buy,8055,69.45,NASDAQ,confirmed,2.69,1700000000006000000
CFM_000007,INT_000007,KO,Buy,8672,170.27,NASDAQ,confirmed,13.55,1700000000007000000
CFM_000008,INT_000008,BAC,Sell,5938,328.16,NYSE,confirmed,5.34,1700000000008000000
CFM_000009,INT_000009,TSLA,Sell,320,366.48,NASDAQ,confirmed,9.44,1700000000009000000
CFM_000010,INT_000010,JNJ,Buy,1862,410.8,NYSE,confirmed,5.09,1700000000010000000
CFM_000011,INT_000011,XOM,Buy,743,190.45,NYSE,confirmed,9.6,1700000000011000000
CFM_000012,INT_000012,PG,Sell,2033,149.37,NASDAQ,confirmed,1.61,1700000000012000000
CFM_000013,INT_000013,KO,Buy,2302,98.93,NASDAQ,confirmed,4.67,1700000000013000000
CFM_000014,INT_000014,NVDA,Sell,1816,177.13,NASDAQ,confirmed,3.97,1700000000014000000
CFM_000015,INT_000015,TSLA,Buy,4653,160.62,NYSE,confirmed,6.93,1700000000015000000
CFM_000016,INT_000016,JPM,Buy,2952,236.2,NASDAQ,confirmed,5.6,1700000000016000000
CFM_000017,INT_000017,GOOG,Buy,3641,140.56,NYSE,confirmed,13.61,1700000000017000000
CFM_000018,INT_000018,MA,Sell,8368,59.98,NYSE,confirmed,4.13,1700000000018000000
CFM_000019,INT_000019,V,Sell,5553,117.41,NASDAQ,confirmed,14.13,1700000000019000000
CFM_000020,INT_000020,GOOG,Buy,6648,333.08,NASDAQ,confirmed,11.34,1700000000020000000
CFM_000021,INT_000021,TSLA,Sell,5155,100.73,NYSE,confirmed,13.39,1700000000021000000
CFM_000022,INT_000022,MA,Sell,9018,269.34,NASDAQ,confirmed,8.9,1700000000022000000
CFM_000023,INT_000023,V,Sell,1255,397.67,NYSE,confirmed,1.71,1700000000023000000
CFM_000024,INT_000024,XOM,Buy,6286,254.14,NYSE,confirmed,12.25,1700000000024000000
CFM_000025,INT_000025,JPM,Sell,3084,308.46,NYSE,confirmed,11.52,1700000000025000000
CFM_000026,INT_000026,JPM,Buy,6081,172.69,NASDAQ,confirmed,11.14,1700000000026000000
CFM_000027,INT_000027,V,Buy,6868,198.88,NYSE,confirmed,13.5,1700000000027000000
CFM_000028,INT_000028,HD,Sell,3095,115.38,NYSE,confirmed,10.74,1700000000028000000
CFM_000029,INT_000029,JPM,Buy,2433,172.13,NASDAQ,confirmed,10.41,1700000000029000000
CFM_000030,INT_000030,JNJ,Sell,5431,382.65,NYSE,confirmed,2.57,1700000000030000000
CFM_000031,INT_000031,GOOG,Sell,1137,435.29,NYSE,confirmed,5.18,1700000000031000000
CFM_000032,INT_000032,BAC,Buy,5188,94.34,NYSE,confirmed,3.26,1700000000032000000
CFM_000033,INT_000033,UNH,Sell,4070,150.92,NASDAQ,confirmed,3.44,1700000000033000000
CFM_000034,INT_000034,JPM,Buy,5182,266.9,NASDAQ,confirmed,10.65,1700000000034000000
CFM_000035,INT_000035,NVDA,Sell,877,51.3,NASDAQ,confirmed,2.23,1700000000035000000
CFM_000036,INT_000036,GS,Buy,7396,468.08,NYSE,confirmed,9.78,1700000000036000000
CFM_000037,INT_000037,TSLA,Buy,7586,54.83,NASDAQ,confirmed,6.89,1700000000037000000
CFM_000038,INT_000038,AMZN,Buy,5597,366.69,NYSE,confirmed,8.5,1700000000038000000
CFM_000039,INT_000039,JPM,Buy,9273,385.18,NYSE,confirmed,7.01,1700000000039000000
CFM_000040,INT_000040,CVX,Sell,6247,288.13,NASDAQ,confirmed,5.99,1700000000040000000
CFM_000041,INT_000041,WMT,Sell,613,209.57,NYSE,confirmed,7.66,1700000000041000000
CFM_000042,INT_000042,JPM,Buy,510,393.56,NYSE,confirmed,14.72,1700000000042000000
CFM_000043,INT_000043,MA,Sell,9671,87.78,NASDAQ,confirmed,9.3,1700000000043000000
CFM_000044,INT_000044,CVX,Buy,4062,372.86,NYSE,confirmed,7.58,1700000000044000000
CFM_000045,INT_000045,NVDA,Sell,4720,339.61,NYSE,confirmed,8.03,1700000000045000000
CFM_000046,INT_000046,GS,Sell,717,223.57,NASDAQ,confirmed,13.96,1700000000046000000
CFM_000047,INT_000047,MA,Buy,5483,306.92,NASDAQ,confirmed,7.27,1700000000047000000
CFM_000048,INT_000048,PG,Sell,6050,53.02,NASDAQ,confirmed,6.18,1700000000048000000
CFM_000049,INT_000049,AAPL,Sell,8824,446.33,NASDAQ,confirmed,6.67,1700000000049000000
CFM_000050,INT_000050,META,Sell,1823,311.44,NYSE,confirmed,6.45,1700000000050000000
CFM_000051,INT_000051,TSLA,Sell,1072,104.58,NASDAQ,confirmed,7.93,1700000000051000000
CFM_000052,INT_000052,AAPL,Buy,442,495.44,NYSE,confirmed,6.82,1700000000052000000
CFM_000053,INT_000053,AAPL,Buy,9669,175.25,NYSE,confirmed,12.31,1700000000053000000
CFM_000054,INT_000054,MSFT,Sell,812,72.05,NYSE,confirmed,14.92,1700000000054000000
CFM_000055,INT_000055,PG,Sell,2763,287.32,NASDAQ,confirmed,13.97,1700000000055000000
CFM_000056,INT_000056,XOM,Sell,7627,420.48,NASDAQ,confirmed,11.88,1700000000056000000
CFM_000057,INT_000057,MSFT,Sell,9654,258.87,NASDAQ,confirmed,7.84,1700000000057000000
CFM_000058,INT_000058,AMZN,Buy,9236,201.13,NASDAQ,confirmed,4.94,1700000000058000000
CFM_000059,INT_000059,AAPL,Sell,7376,141.03,NASDAQ,confirmed,14.45,1700000000059000000
CFM_000060,INT_000060,MA,Sell,9233,358.63,NYSE,confirmed,2.66,1700000000060000000
CFM_000061,INT_000061,MA,Buy,3363,215.78,NYSE,confirmed,12.9,1700000000061000000
CFM_000062,INT_000062,HD,Sell,4635,378.77,NYSE,confirmed,5.6,1700000000062000000
CFM_000063,INT_000063,GOOG,Sell,5857,97.63,NASDAQ,confirmed,11.33,1700000000063000000
CFM_000064,INT_000064,XOM,Sell,7757,135.11,NYSE,confirmed,8.49,1700000000064000000
CFM_000065,INT_000065,AMZN,Sell,8146,167.96,NASDAQ,confirmed,14.19,1700000000065000000
CFM_000066,INT_000066,BAC,Sell,7401,323.25,NASDAQ,confirmed,13.02,1700000000066000000
CFM_000067,INT_000067,KO,Sell,9022,188.1,NYSE,confirmed,5.91,1700000000067000000
CFM_000068,INT_000068,KO,Sell,2044,129.85,NYSE,confirmed,11.71,1700000000068000000
CFM_000069,INT_000069,MSFT,Buy,1018,363.66,NASDAQ,confirmed,6.67,1700000000069000000
CFM_000070,INT_000070,HD,Buy,2446,221.69,NASDAQ,confirmed,2.12,1700000000070000000
CFM_000071,INT_000071,MSFT,Sell,9599,308.84,NYSE,confirmed,5.86,1700000000071000000
CFM_000072,INT_000072,GOOG,Buy,1260,160.39,NASDAQ,confirmed,8.57,1700000000072000000
CFM_000073,INT_000073,GOOG,Sell,6454,288.67,NASDAQ,confirmed,5.92,1700000000073000000
CFM_000074,INT_000074,JPM,Sell,5441,130.07,NYSE,confirmed,1.27,1700000000074000000
CFM_000075,INT_000075,KO,Sell,9002,480.25,NASDAQ,confirmed,7.46,1700000000075000000
CFM_000076,INT_000076,AMZN,Buy,3062,301.34,NASDAQ,confirmed,9.07,1700000000076000000
CFM_000077,INT_000077,HD,Buy,4767,385.7,NYSE,confirmed,7.05,1700000000077000000
CFM_000078,INT_000078,HD,Buy,2099,111.85,NYSE,confirmed,1.7,1700000000078000000
CFM_000079,INT_000079,WMT,Sell,5509,457.55,NYSE,confirmed,12.0,1700000000079000000
CFM_000080,INT_000080,HD,Sell,7208,218.08,NYSE,confirmed,5.09,1700000000080000000
