trade_id,timestamp_ns,symbol,side,quantity,price,venue,strategy,account,status
INT_000000,1700000000000000000,AMZN,Buy,4516,160.2,NYSE,stat_arb,ACC018,active
INT_000001,1700000000001000000,MSFT,Sell,530,63.41,NYSE,momentum,ACC017,active
INT_000002,1700000000002000000,KO,Buy,9205,139.48,NASDAQ,momentum,ACC015,active
INT_000003,1700000000003000000,HD,Sell,116,391.46,NYSE,pairs,ACC011,active
INT_000004,1700000000004000000,GS,Buy,3537,480.75,NASDAQ,stat_arb,ACC003,active
INT_000005,1700000000005000000,UNH,Buy,5891,431.37,NASDAQ,stat_arb,ACC015,active
INT_000006,1700000000006000000,CVX,Buy,6211,85.46,NASDAQ,market_neutral,ACC012,active
INT_000007,1700000000007000000,HD,Buy,1149,70.62,NYSE,mean_revert,ACC003,active
INT_000008,1700000000008000000,JPM,Buy,6237,175.09,NASDAQ,momentum,ACC012,active
INT_000009,1700000000009000000,MA,Buy,4384,365.82,NYSE,market_neutral,ACC006,active
INT_000010,1700000000010000000,CVX,Buy,2687,258.02,NASDAQ,market_neutral,ACC008,active
INT_000011,1700000000011000000,V,Buy,3762,419.81,NASDAQ,pairs,ACC009,active
INT_000012,1700000000012000000,MSFT,Buy,9302,444.37,NASDAQ,momentum,ACC016,active
INT_000013,1700000000013000000,UNH,Sell,2350,169.2,NYSE,market_neutral,ACC018,active
INT_000014,1700000000014000000,GS,Sell,9570,229.73,NYSE,momentum,ACC017,active
INT_000015,1700000000015000000,PG,Buy,781,437.5,NYSE,momentum,ACC014,active
INT_000016,1700000000016000000,KO,Buy,6314,221.73,NASDAQ,market_neutral,ACC009,active
INT_000017,1700000000017000000,CVX,Buy,1886,356.77,NASDAQ,mean_revert,ACC004,active
INT_000018,1700000000018000000,BAC,Sell,2601,254.18,NASDAQ,market_neutral,ACC006,active
INT_000019,1700000000019000000,XOM,Buy,4899,428.75,NYSE,momentum,ACC012,active
INT_000020,1700000000020000000,META,Buy,9823,195.87,NYSE,stat_arb,ACC012,active
INT_000021,1700000000021000000,BAC,Buy,959,158.39,NYSE,stat_arb,ACC016,active
INT_000022,1700000000022000000,MSFT,Buy,2113,346.89,NYSE,mean_revert,ACC017,active
INT_000023,1700000000023000000,KO,Sell,3480,468.01,NYSE,mean_revert,ACC013,active
INT_000024,1700000000024000000,MA,Sell,8489,253.17,NYSE,momentum,ACC003,active
INT_000025,1700000000025000000,V,Buy,9648,299.26,NYSE,stat_arb,ACC003,active
INT_000026,1700000000026000000,GOOG,Buy,1114,457.44,NASDAQ,stat_arb,ACC017,active
INT_000027,1700000000027000000,JPM,Sell,7963,146.41,NYSE,market_neutral,ACC019,active
INT_000028,1700000000028000000,PG,Buy,7759,413.37,NYSE,stat_arb,ACC004,active
INT_000029,1700000000029000000,JNJ,Sell,6949,235.0,NYSE,stat_arb,ACC002,active
INT_000030,1700000000030000000,UNH,Sell,1800,161.9,NYSE,market_neutral,ACC015,active
INT_000031,1700000000031000000,TSLA,Sell,3016,175.35,NYSE,stat_arb,ACC015,active
INT_000032,1700000000032000000,CVX,Buy,838,343.47,NYSE,stat_arb,ACC008,active
INT_000033,1700000000033000000,META,Sell,7966,266.61,NASDAQ,stat_arb,ACC006,active
